Date,open,high,low,Adjusted_Close,volume
2023-10-24 00:00:00+00:00,13173.5,13363.0,13144.25,13279.0,873
2023-10-25 00:00:00+00:00,13279.5,13280.75,12882.25,12907.5,981
2023-10-26 00:00:00+00:00,12855.25,12874.25,12568.25,12619.25,1352
2023-10-27 00:00:00+00:00,12682.75,12830.5,12645.0,12690.0,724
2023-10-30 00:00:00+00:00,12756.5,12900.5,12734.25,12842.0,990
2023-10-31 00:00:00+00:00,12834.75,12927.25,12738.25,12917.25,810
2023-11-01 00:00:00+00:00,12899.0,13187.5,12844.25,13172.5,1273
2023-11-02 00:00:00+00:00,13190.25,13446.75,13190.25,13429.75,1157
2023-11-03 00:00:00+00:00,13369.5,13656.75,13369.25,13611.0,850
2023-11-06 00:00:00+00:00,13635.25,13688.25,13574.25,13667.25,518
2023-11-07 00:00:00+00:00,13642.25,13848.75,13613.25,13812.0,944
2023-11-08 00:00:00+00:00,13804.25,13854.25,13734.75,13824.0,402
2023-11-09 00:00:00+00:00,13789.25,13891.75,13674.25,13692.75,611
2023-11-10 00:00:00+00:00,13677.25,14053.5,13651.5,14036.0,971
2023-11-13 00:00:00+00:00,14027.0,14039.25,13907.75,13987.25,747
2023-11-14 00:00:00+00:00,13995.5,14358.0,13995.5,14322.5,995
2023-11-15 00:00:00+00:00,14339.5,14469.25,14274.25,14333.0,867
2023-11-16 00:00:00+00:00,14296.75,14346.75,14246.75,14340.5,495
2023-11-17 00:00:00+00:00,14329.75,14382.0,14269.25,14339.25,323
2023-11-20 00:00:00+00:00,14344.25,14561.75,14284.75,14532.5,690
2023-11-21 00:00:00+00:00,14536.75,14567.25,14359.5,14435.5,935
2023-11-22 00:00:00+00:00,14402.5,14616.25,14388.25,14495.5,916
2023-11-23 00:00:00+00:00,14488.25,14528.25,14488.25,14495.5,89
2023-11-24 00:00:00+00:00,14514.25,14516.25,14431.25,14466.5,231
2023-11-27 00:00:00+00:00,14444.25,14534.5,14386.75,14454.5,811
2023-11-28 00:00:00+00:00,14457.25,14516.25,14392.75,14493.75,1123
2023-11-29 00:00:00+00:00,14494.75,14654.5,14461.5,14470.5,2222
2023-11-30 00:00:00+00:00,14487.75,14545.25,14301.25,14431.5,2057
2023-12-01 00:00:00+00:00,14402.75,14495.75,14310.5,14469.5,3043
2023-12-04 00:00:00+00:00,14464.5,14464.5,14164.5,14313.75,11658
2023-12-05 00:00:00+00:00,14298.5,14406.75,14205.25,14354.5,13782
2023-12-06 00:00:00+00:00,14343.0,14485.5,14248.75,14261.5,6849
2023-12-07 00:00:00+00:00,14251.25,14516.0,14238.25,14489.0,18639
2023-12-08 00:00:00+00:00,14466.25,14573.25,14342.25,14553.0,149043
2023-12-11 00:00:00+00:00,14545.5,14704.25,14500.5,14694.25,394928
2023-12-12 00:00:00+00:00,14697.25,14844.25,14640.75,14819.75,513525
2023-12-13 00:00:00+00:00,14840.25,15050.75,14820.25,15021.5,627202
2023-12-14 00:00:00+00:00,15021.75,15129.25,14872.25,14997.25,737886
2023-12-15 00:00:00+00:00,14983.5,15131.5,14976.5,15064.5,641580
2023-12-18 00:00:00+00:00,15064.5,15218.25,15046.5,15184.0,447862
2023-12-19 00:00:00+00:00,15161.25,15273.75,15155.0,15267.25,487720
2023-12-20 00:00:00+00:00,15268.25,15317.75,15002.75,15010.5,643148
2023-12-21 00:00:00+00:00,15034.5,15214.5,15034.5,15200.75,631023
2023-12-22 00:00:00+00:00,15200.25,15285.75,15135.75,15224.25,478748
2023-12-26 00:00:00+00:00,15208.75,15355.5,15208.75,15327.75,286170
2023-12-27 00:00:00+00:00,15334.5,15377.25,15299.75,15357.5,417060
2023-12-28 00:00:00+00:00,15371.25,15409.5,15322.0,15334.75,353018
2023-12-29 00:00:00+00:00,15334.5,15375.25,15182.5,15267.75,460936
2024-01-02 00:00:00+00:00,15263.25,15282.75,14866.75,14964.25,634193
